識別番号,漢字,種類,異体字(表に含む)
547,玄,1. 常用漢字の通用字体,
548,言,1. 常用漢字の通用字体,
549,弦,1. 常用漢字の通用字体,
550,限,1. 常用漢字の通用字体,
551,原,1. 常用漢字の通用字体,
552,現,1. 常用漢字の通用字体,
553,舷,1. 常用漢字の通用字体,
554,減,1. 常用漢字の通用字体,
555,源,1. 常用漢字の通用字体,
556,厳,1. 常用漢字の通用字体,嚴
557,己,1. 常用漢字の通用字体,
558,戸,1. 常用漢字の通用字体,
559,古,1. 常用漢字の通用字体,
560,呼,1. 常用漢字の通用字体,
561,固,1. 常用漢字の通用字体,
562,股,1. 常用漢字の通用字体,
563,虎,1. 常用漢字の通用字体,
564,孤,1. 常用漢字の通用字体,
565,弧,1. 常用漢字の通用字体,
566,故,1. 常用漢字の通用字体,
567,枯,1. 常用漢字の通用字体,
568,個,1. 常用漢字の通用字体,
569,庫,1. 常用漢字の通用字体,
570,湖,1. 常用漢字の通用字体,
571,雇,1. 常用漢字の通用字体,
572,誇,1. 常用漢字の通用字体,
573,鼓,1. 常用漢字の通用字体,
574,錮,1. 常用漢字の通用字体,
575,顧,1. 常用漢字の通用字体,
576,五,1. 常用漢字の通用字体,
577,互,1. 常用漢字の通用字体,
578,午,1. 常用漢字の通用字体,
579,呉,1. 常用漢字の通用字体,
580,後,1. 常用漢字の通用字体,
581,娯,1. 常用漢字の通用字体,
582,悟,1. 常用漢字の通用字体,
583,碁,1. 常用漢字の通用字体,
584,語,1. 常用漢字の通用字体,
585,誤,1. 常用漢字の通用字体,
586,護,1. 常用漢字の通用字体,
587,口,1. 常用漢字の通用字体,
588,工,1. 常用漢字の通用字体,
589,公,1. 常用漢字の通用字体,
590,勾,1. 常用漢字の通用字体,
591,孔,1. 常用漢字の通用字体,
592,功,1. 常用漢字の通用字体,
593,巧,1. 常用漢字の通用字体,
594,広,1. 常用漢字の通用字体,廣
595,甲,1. 常用漢字の通用字体,
596,交,1. 常用漢字の通用字体,
597,光,1. 常用漢字の通用字体,
598,向,1. 常用漢字の通用字体,
599,后,1. 常用漢字の通用字体,
600,好,1. 常用漢字の通用字体,
601,江,1. 常用漢字の通用字体,
602,考,1. 常用漢字の通用字体,
603,行,1. 常用漢字の通用字体,
604,坑,1. 常用漢字の通用字体,
605,孝,1. 常用漢字の通用字体,
606,抗,1. 常用漢字の通用字体,
607,攻,1. 常用漢字の通用字体,
608,更,1. 常用漢字の通用字体,
609,効,1. 常用漢字の通用字体,
610,幸,1. 常用漢字の通用字体,
611,拘,1. 常用漢字の通用字体,
612,肯,1. 常用漢字の通用字体,
613,侯,1. 常用漢字の通用字体,
614,厚,1. 常用漢字の通用字体,
615,恒,1. 常用漢字の通用字体,恆
616,洪,1. 常用漢字の通用字体,
617,皇,1. 常用漢字の通用字体,
618,紅,1. 常用漢字の通用字体,
619,荒,1. 常用漢字の通用字体,
620,郊,1. 常用漢字の通用字体,
621,香,1. 常用漢字の通用字体,
622,候,1. 常用漢字の通用字体,
623,校,1. 常用漢字の通用字体,
624,耕,1. 常用漢字の通用字体,
625,航,1. 常用漢字の通用字体,
626,貢,1. 常用漢字の通用字体,
627,降,1. 常用漢字の通用字体,
628,高,1. 常用漢字の通用字体,
629,康,1. 常用漢字の通用字体,
630,控,1. 常用漢字の通用字体,
631,梗,1. 常用漢字の通用字体,
632,黄,1. 常用漢字の通用字体,黃
633,喉,1. 常用漢字の通用字体,
634,慌,1. 常用漢字の通用字体,
635,港,1. 常用漢字の通用字体,
636,硬,1. 常用漢字の通用字体,
637,絞,1. 常用漢字の通用字体,
638,項,1. 常用漢字の通用字体,
639,溝,1. 常用漢字の通用字体,
640,鉱,1. 常用漢字の通用字体,
641,構,1. 常用漢字の通用字体,
642,綱,1. 常用漢字の通用字体,
643,酵,1. 常用漢字の通用字体,
644,稿,1. 常用漢字の通用字体,
645,興,1. 常用漢字の通用字体,
646,衡,1. 常用漢字の通用字体,
647,鋼,1. 常用漢字の通用字体,
648,講,1. 常用漢字の通用字体,
649,購,1. 常用漢字の通用字体,
650,乞,1. 常用漢字の通用字体,
651,号,1. 常用漢字の通用字体,
652,合,1. 常用漢字の通用字体,
653,拷,1. 常用漢字の通用字体,
654,剛,1. 常用漢字の通用字体,
655,傲,1. 常用漢字の通用字体,
656,豪,1. 常用漢字の通用字体,
657,克,1. 常用漢字の通用字体,
658,告,1. 常用漢字の通用字体,
659,谷,1. 常用漢字の通用字体,
660,刻,1. 常用漢字の通用字体,
661,国,1. 常用漢字の通用字体,國
662,黒,1. 常用漢字の通用字体,黑
663,穀,1. 常用漢字の通用字体,穀
664,酷,1. 常用漢字の通用字体,
665,獄,1. 常用漢字の通用字体,
666,骨,1. 常用漢字の通用字体,
667,駒,1. 常用漢字の通用字体,
668,込,1. 常用漢字の通用字体,
669,頃,1. 常用漢字の通用字体,
670,今,1. 常用漢字の通用字体,
671,困,1. 常用漢字の通用字体,
672,昆,1. 常用漢字の通用字体,
673,恨,1. 常用漢字の通用字体,
674,根,1. 常用漢字の通用字体,
675,婚,1. 常用漢字の通用字体,
676,混,1. 常用漢字の通用字体,
677,痕,1. 常用漢字の通用字体,
678,紺,1. 常用漢字の通用字体,
679,魂,1. 常用漢字の通用字体,
680,墾,1. 常用漢字の通用字体,
681,懇,1. 常用漢字の通用字体,
682,左,1. 常用漢字の通用字体,
683,佐,1. 常用漢字の通用字体,
684,沙,1. 常用漢字の通用字体,
685,査,1. 常用漢字の通用字体,
686,砂,1. 常用漢字の通用字体,
687,唆,1. 常用漢字の通用字体,
688,差,1. 常用漢字の通用字体,
689,詐,1. 常用漢字の通用字体,
690,鎖,1. 常用漢字の通用字体,
691,座,1. 常用漢字の通用字体,
692,挫,1. 常用漢字の通用字体,
693,才,1. 常用漢字の通用字体,
694,再,1. 常用漢字の通用字体,
695,災,1. 常用漢字の通用字体,
696,妻,1. 常用漢字の通用字体,
697,采,1. 常用漢字の通用字体,
