漢字,JIS面区点コード,ユニコード,JIS水準
柿,1-19-33,U+67FF,1
蛎,1-19-34,U+86CE,1
鈎,1-19-35,U+920E,1
劃,1-19-36,U+5283,1
嚇,1-19-37,U+5687,1
各,1-19-38,U+5404,1
廓,1-19-39,U+5ED3,1
拡,1-19-40,U+62E1,1
撹,1-19-41,U+64B9,1
格,1-19-42,U+683C,1
核,1-19-43,U+6838,1
殻,1-19-44,U+6BBB,1
獲,1-19-45,U+7372,1
確,1-19-46,U+78BA,1
穫,1-19-47,U+7A6B,1
覚,1-19-48,U+899A,1
角,1-19-49,U+89D2,1
赫,1-19-50,U+8D6B,1
較,1-19-51,U+8F03,1
郭,1-19-52,U+90ED,1
閣,1-19-53,U+95A3,1
隔,1-19-54,U+9694,1
革,1-19-55,U+9769,1
学,1-19-56,U+5B66,1
岳,1-19-57,U+5CB3,1
楽,1-19-58,U+697D,1
額,1-19-59,U+984D,1
顎,1-19-60,U+984E,1
掛,1-19-61,U+639B,1
笠,1-19-62,U+7B20,1
樫,1-19-63,U+6A2B,1
橿,1-19-64,U+6A7F,1
梶,1-19-65,U+68B6,1
鰍,1-19-66,U+9C0D,1
潟,1-19-67,U+6F5F,1
割,1-19-68,U+5272,1
喝,1-19-69,U+559D,1
恰,1-19-70,U+6070,1
括,1-19-71,U+62EC,1
活,1-19-72,U+6D3B,1
渇,1-19-73,U+6E07,1
滑,1-19-74,U+6ED1,1
葛,1-19-75,U+845B,1
褐,1-19-76,U+8910,1
轄,1-19-77,U+8F44,1
且,1-19-78,U+4E14,1
鰹,1-19-79,U+9C39,1
叶,1-19-80,U+53F6,1
椛,1-19-81,U+691B,1
樺,1-19-82,U+6A3A,1
鞄,1-19-83,U+9784,1
株,1-19-84,U+682A,1
兜,1-19-85,U+515C,1
竃,1-19-86,U+7AC3,1
蒲,1-19-87,U+84B2,1
釜,1-19-88,U+91DC,1
鎌,1-19-89,U+938C,1
噛,1-19-90,U+565B,1
鴨,1-19-91,U+9D28,1
栢,1-19-92,U+6822,1
茅,1-19-93,U+8305,1
萱,1-19-94,U+8431,1
粥,1-20-01,U+7CA5,1
刈,1-20-02,U+5208,1
苅,1-20-03,U+82C5,1
瓦,1-20-04,U+74E6,1
乾,1-20-05,U+4E7E,1
侃,1-20-06,U+4F83,1
冠,1-20-07,U+51A0,1
寒,1-20-08,U+5BD2,1
刊,1-20-09,U+520A,1
勘,1-20-10,U+52D8,1
勧,1-20-11,U+52E7,1
巻,1-20-12,U+5DFB,1
喚,1-20-13,U+559A,1
堪,1-20-14,U+582A,1
姦,1-20-15,U+59E6,1
完,1-20-16,U+5B8C,1
官,1-20-17,U+5B98,1
寛,1-20-18,U+5BDB,1
干,1-20-19,U+5E72,1
幹,1-20-20,U+5E79,1
患,1-20-21,U+60A3,1
感,1-20-22,U+611F,1
慣,1-20-23,U+6163,1
憾,1-20-24,U+61BE,1
換,1-20-25,U+63DB,1
敢,1-20-26,U+6562,1
柑,1-20-27,U+67D1,1
桓,1-20-28,U+6853,1
棺,1-20-29,U+68FA,1
款,1-20-30,U+6B3E,1
歓,1-20-31,U+6B53,1
汗,1-20-32,U+6C57,1
漢,1-20-33,U+6F22,1
澗,1-20-34,U+6F97,1
潅,1-20-35,U+6F45,1
環,1-20-36,U+74B0,1
甘,1-20-37,U+7518,1
監,1-20-38,U+76E3,1
看,1-20-39,U+770B,1
竿,1-20-40,U+7AFF,1
管,1-20-41,U+7BA1,1
簡,1-20-42,U+7C21,1
緩,1-20-43,U+7DE9,1
缶,1-20-44,U+7F36,1
翰,1-20-45,U+7FF0,1
肝,1-20-46,U+809D,1
艦,1-20-47,U+8266,1
莞,1-20-48,U+839E,1
観,1-20-49,U+89B3,1
諌,1-20-50,U+8ACC,1
貫,1-20-51,U+8CAB,1
還,1-20-52,U+9084,1
鑑,1-20-53,U+9451,1
間,1-20-54,U+9593,1
閑,1-20-55,U+9591,1
関,1-20-56,U+95A2,1
陥,1-20-57,U+9665,1
韓,1-20-58,U+97D3,1
館,1-20-59,U+9928,1
舘,1-20-60,U+8218,1
丸,1-20-61,U+4E38,1
含,1-20-62,U+542B,1
岸,1-20-63,U+5CB8,1
巌,1-20-64,U+5DCC,1
玩,1-20-65,U+73A9,1
癌,1-20-66,U+764C,1
眼,1-20-67,U+773C,1
岩,1-20-68,U+5CA9,1
翫,1-20-69,U+7FEB,1
贋,1-20-70,U+8D0B,1
雁,1-20-71,U+96C1,1
頑,1-20-72,U+9811,1
顔,1-20-73,U+9854,1
願,1-20-74,U+9858,1
企,1-20-75,U+4F01,1
伎,1-20-76,U+4F0E,1
危,1-20-77,U+5371,1
喜,1-20-78,U+559C,1
器,1-20-79,U+5668,1
基,1-20-80,U+57FA,1
奇,1-20-81,U+5947,1
嬉,1-20-82,U+5B09,1
寄,1-20-83,U+5BC4,1
岐,1-20-84,U+5C90,1
希,1-20-85,U+5E0C,1
幾,1-20-86,U+5E7E,1
忌,1-20-87,U+5FCC,1
揮,1-20-88,U+63EE,1
机,1-20-89,U+673A,1
旗,1-20-90,U+65D7,1
既,1-20-91,U+65E2,1
期,1-20-92,U+671F,1
棋,1-20-93,U+68CB,1
棄,1-20-94,U+68C4,1
機,1-21-01,U+6A5F,1
帰,1-21-02,U+5E30,1
毅,1-21-03,U+6BC5,1
気,1-21-04,U+6C17,1
汽,1-21-05,U+6C7D,1
畿,1-21-06,U+757F,1
祈,1-21-07,U+7948,1
季,1-21-08,U+5B63,1
稀,1-21-09,U+7A00,1
紀,1-21-10,U+7D00,1
徽,1-21-11,U+5FBD,1
規,1-21-12,U+898F,1
記,1-21-13,U+8A18,1
貴,1-21-14,U+8CB4,1
起,1-21-15,U+8D77,1
軌,1-21-16,U+8ECC,1
輝,1-21-17,U+8F1D,1
飢,1-21-18,U+98E2,1
騎,1-21-19,U+9A0E,1
鬼,1-21-20,U+9B3C,1
亀,1-21-21,U+4E80,1
偽,1-21-22,U+507D,1
儀,1-21-23,U+5100,1
妓,1-21-24,U+5993,1
宜,1-21-25,U+5B9C,1
戯,1-21-26,U+622F,1
技,1-21-27,U+6280,1
擬,1-21-28,U+64EC,1
欺,1-21-29,U+6B3A,1
犠,1-21-30,U+72A0,1
疑,1-21-31,U+7591,1
祇,1-21-32,U+7947,1
義,1-21-33,U+7FA9,1
蟻,1-21-34,U+87FB,1
誼,1-21-35,U+8ABC,1
議,1-21-36,U+8B70,1
掬,1-21-37,U+63AC,1
菊,1-21-38,U+83CA,1
鞠,1-21-39,U+97A0,1
吉,1-21-40,U+5409,1
吃,1-21-41,U+5403,1
喫,1-21-42,U+55AB,1
桔,1-21-43,U+6854,1
橘,1-21-44,U+6A58,1
詰,1-21-45,U+8A70,1
