ID,漢字,,,,
683,豺,豸,才,,
684,耆,老,日,,
685,耄,老,毛,,
686,逅,后,辶,,
687,迹,亦,辶,,
688,迴,回,辶,,
689,迸,并,辶,,
690,竚,立,宁,,
691,站,立,占,,
692,粃,米,比,,
693,秣,禾,末,,
694,秬,禾,巨,,
695,秧,禾,央,,
696,盍,去,皿,,
697,赳,走,丩,,
698,舐,舌,氏,,
699,罠,罒,民,,
700,罟,罒,古,,
701,皰,皮,包の旧字,,
702,翅,支,羽の旧字,,
703,窈,穴,幼,,
704,虔,虍,文,,
705,祗,示,氐,,
706,祠,示,司,,
707,祚,示,乍,,
708,祓,示,犮,,
709,祟,出,示,,
710,衄,血,丑,,
711,豈,山,豆,,
712,冦,冖,元,攴,
713,弉,爿,士,廾,
714,衮,衣分かれたやつ,公,,
715,捓,扌,邪,,
716,粏,米,太,,
717,虒,⺁,虎,,
718,桛,木,上下,,
719,桄,木,光,,
720,哳,口,折,,
721,凊,冫,靑,,
722,偃,亻,匽,,
723,偕,亻,皆,,
724,偐,亻,彥,,
725,偈,亻,曷,,
726,偖,亻,者,,
727,偬,亻,怱,,
728,偸,亻,兪,,
729,做,亻,故,,
730,冕,冃,免,,
731,剪,前の旧字,刀,,
732,剳,荅,刂,,
733,勗,日,助,,
734,匐,勹,畐,,
735,匏,夸,包の旧字,,
736,唹,口,於,,
737,啀,口,厓,,
738,售,隹,口,,
739,啜,口,叕,,
740,啅,口,卓,,
741,啖,口,炎,,
742,啗,口,臽,,
743,唸,口,念,,
744,圉,囗,幸,,
745,堊,亞,土,,
746,堋,土,朋,,
747,婀,女,阿,,
748,婬,女,㸒,,
749,婉,女,宛,,
750,娵,女,取,,
751,娶,取,女,,
752,婢,女,卑,,
753,婪,林,女,,
754,孰,享,丸,,
755,寇,宀,元,攴,
756,崟,山,金,,
757,崛,山,屈,,
758,崑,山,昆,,
759,崔,山,隹,,
760,崢,山,爭,,
761,崚,山,夌,,
762,崙,山,侖,,
763,崘,山,侖,,
764,帷,巾,隹,,
765,弸,弓,朋,,
766,彗,丰丰,はみでたヨ,,
767,徙,彳,歨,,
768,徘,彳,非,,
769,悸,忄,季,,
770,惓,忄,卷,,
771,悴,忄,卒,,
772,悽,忄,妻,,
773,惆,忄,周の旧字,,
774,悵,忄,長,,
775,惘,忄,罔,,
776,戛,一自,戈,,
777,扈,戸,邑,,
778,掖,扌,夜,,
779,掎,扌,奇,,
780,掀,扌,欣,,
781,掫,扌,取,,
782,捶,扌,垂,,
783,掏,扌,匋,,
784,掉,扌,卓,,
785,掟,扌,定,,
786,捫,扌,門,,
787,斛,角,斗,,
788,旌,方,𠂉生,,
789,敖,土方,攵,,
790,毬,求,毛,,
791,毫,高の省略,毛,,
792,晞,日,希,,
793,晤,日,吾,,
794,晧,日,はみでた告,,
795,晨,日,辰,,
796,晢,折,日,,
797,耜,耒,㠯,,
798,閊,門,山,,
799,麸,麦,夫,,
800,桿,木,旱,,
801,桝,木,舛,,
802,桀,舛,木,,
803,梳,木,㐬,,
804,蛄,虫,古,,
805,蚰,虫,由,,
806,蛉,虫,令,,
807,蚯,虫,丘,,
808,蚶,虫,甘,,
809,蚫,虫,包の旧字,,
810,蛆,虫,且,,
811,桷,木,角,,
812,梭,木,夋,,
813,梔,木,巵,,
814,梵,林,凡,,
815,桴,木,孚,,
816,梟,鳥の省略,木,,
817,梠,木,呂,,
818,梺,林,下,,
819,梏,木,はみでた告,,
820,梛,木,那,,
821,梃,木,廷,,
822,脣,辰,月,,
823,脯,月,甫,,
824,脛,月,巠,,
825,脩,亻,丨,攵,月
826,曼,日,罒,又,
827,跂,足,支,,
828,趺,足,夫,,
829,趾,足,止,,
830,鹵,鹵,,,
831,馗,首,九,,
832,淹,氵,奄,,
833,淬,氵,卒,,
834,淒,氵,妻,,
835,涵,氵,函,,
836,涸,氵,固,,
837,淅,氵,析,,
838,淙,氵,宗,,
839,淆,氵,肴,,
840,淪,氵,侖,,
841,淌,氵,尚,,
842,淤,氵,於,,
843,軛,車,厄,,
844,笘,⺮,占,,
845,笞,⺮,台,,
846,笵,⺮,氾,,
847,笳,⺮,加,,
848,笨,⺮,本,,
849,笙,⺮,生,,
850,欸,矣,欠,,
851,欷,希,欠,,
852,琅,王,良,,
853,硅,石,圭,,
854,釵,金,叉,,
855,絅,糸,冋,,
856,紿,糸,台,,
857,絆,糸,半の旧字,,
858,紵,糸,宁,,
859,紮,札,糸,,
860,紲,糸,世,,
861,牾,牛,吾,,
862,犁,利,牛,,
863,酖,酉,冘,,
864,聆,耳,令,,
865,聊,耳,卯,,
866,瓷,次,瓦,,
867,瓸,百,瓦,,
868,舸,舟,可,,
869,舳,舟,由,,
870,烱,火,冏,,
871,焉,焉,,,
872,烽,火,夆,,
873,訛,言,化,,
874,訝,言,牙,,
875,訥,言,內,,
876,袞,袞,,,
877,袤,袤,,,
878,袰,母,衣,,
879,袿,衤,圭,,
880,裃,衤,上下,,
881,裄,衤,行,,
882,袱,衤,伏,,
883,袵,衤,任,,
884,勒,革,力,,
885,猊,犭,兒,,
886,猜,犭,靑,,
887,猖,犭,昌,,
888,猗,犭,奇,,
889,猝,犭,卒,,
890,羝,ななめの羊,氐,,
891,羚,ななめの羊,令,,
892,眷,龹,目,,
893,眥,此,目,,
894,眦,目,此,,
895,眸,目,牟,,
896,陬,阝,取,,
897,陲,阝,垂,,
898,痍,疒,夷,,
899,疵,疒,此,,
900,痊,疒,全,,
901,痒,疒,羊,,
902,殍,歹,孚,,
903,菽,艹,叔,,
904,萢,艹,泡,,
905,菠,艹,波,,
906,菎,艹,昆,,
907,菴,艹,奄,,
908,菲,艹,非,,
909,萃,艹,卒,,
910,萍,艹,泙,,
911,菫,艹,菫の下,,
912,菁,艹,靑,,
913,菘,艹,松,,
914,畤,田,寺,,
915,覓,爫,見,,
916,皎,白,交,,
917,貶,貝,乏,,
